2023-11-27|23:10:52|Giant Lobster Plush|-25.00
2024-01-02|06:16:19|Chocolate Milk|Sheetz|-3.25
2024-01-03|04:25:00|Pay from Job|My Job Inc.|2000.00
2024-01-07|13:42:57|Pay from 2nd Job|The Pub|80.00
2024-01-06|12:24:25|NCT 127 Be There For Me Mini-Album|KTown4U|-14.99
2024-02-05|08:08:31|Bird toys|CHEWY|-22.17
2024-02-11|12:00:15|Pay from 2nd Job|The Pub|80.00
2024-03-03|04:25:00|Pay from Job|My Job Inc.|2000.00
2024-03-11|11:15:00|Nacific Skin Care kit |Nacific|-50.00
2024-03-16|14:30:45|Bird Food|PetSmart|-19.76
2024-03-19|17:21:15|Payment for NCT Dream Comeback|-81.24
2024-04-03|04:25:00|Pay from Job|My Job Inc.|2000.00
2024-04-07|07:21:02|Pay from 2nd Job|The Pub|80.00
2024-04-17|09:05:10|Feel the POP: ZEROBASEONE album |KTown4U|-25.00
2024-04-19|15:20:30|Bird Toys|CHEWY |-37.83
2024-04-21|09:13:33|Pay from 2nd Job|The Pub|80.00
2024-05-01|10:08:23|ATEEZ: WILL To Power concert tickets|TicketMaster|-400.34
2024-05-01|17:41:07|Credit Card Payment|Discover|-45.00
2024-05-03|04:25:00|Pay from Job|My Job Inc.|2000.00
2024-05-02|07:25:55|Payment from 2nd Job|The Pub|80.57
2024-05-02|15:55:21|Bird supplies (food and toys)|CHEWY|-64.37
2024-05-01|15:12:33|Payment from a friend for dinner|CashApp|35.5
2024-05-03|12:21:22|NCT 127 albums|KTown4U website|-44.65
